model,entity_type,layer,depth,raw_pairwise_cos,cent_within,cent_between,cent_gap,n_templates,n_points,tsne_verdict,diffvec_cumvar_k1,diffvec_cumvar_k2,diffvec_cumvar_k3,diffvec_cumvar_k5,diffvec_cumvar_k10
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state,20,0.2532,0.9622302510723564,0.47514116953600916,-0.03180088497974102,0.5069420545157501,11,1012,,0.580694854259491,0.6633869409561157,0.7307380437850952,0.7987716197967529,0.899366557598114
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state,40,0.5063,0.914309652197378,0.6037872387586456,-0.034069932433012234,0.6378571711916579,11,1012,,0.6231342554092407,0.69965660572052,0.7607995271682739,0.832766592502594,0.9186546802520752
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state,60,0.7595,0.8789627472293815,0.591147255021752,-0.033058438788153496,0.6242056938099055,11,1012,,0.6557732224464417,0.7300315499305725,0.7840129733085632,0.8461267352104187,0.9259339570999146
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state,79,1.0,0.9635014368681263,0.4921502379798575,-0.03124914168679345,0.523399379666651,11,1012,,0.6456589102745056,0.8008375763893127,0.8380951881408691,0.8874393701553345,0.9435888528823853
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state question,0,0.0,0.9868399616040742,0.7617769839993694,0.013724574091951826,0.7480524099074176,11,1012,,0.5643212199211121,0.7652096748352051,0.8544846773147583,0.9058204293251038,0.9606924057006836
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state question,20,0.2532,0.9669800405575223,0.6474764971879491,-0.03573105363516772,0.6832075508231168,11,1012,,0.6548783183097839,0.7134584188461304,0.7662912607192993,0.8311501145362854,0.9182254076004028
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state question,40,0.5063,0.974701710411993,0.743958414908041,-0.039219646643527596,0.7831780615515687,11,1012,,0.5890823602676392,0.7405313849449158,0.8046801090240479,0.8657797574996948,0.9395677447319031
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state question,60,0.7595,0.9732313201550485,0.7443264067957276,-0.039988358921981784,0.7843147657177094,11,1012,,0.572761058807373,0.7234800457954407,0.802391529083252,0.863970935344696,0.9383979439735413
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state question,79,1.0,0.97905960817173,0.7089726520996344,-0.03263503686171214,0.7416076889613465,11,1012,,0.5186723470687866,0.6800928711891174,0.7564509510993958,0.8229809999465942,0.9183676838874817
meta-llama-Llama-3.1-70B,boiling_point_c,0,0.0,0.996214431521429,0.7675211979239657,-0.03337244042049342,0.8008936383444591,9,828,,0.5895057916641235,0.7059599757194519,0.7897499799728394,0.8858588933944702,0.9483135342597961
meta-llama-Llama-3.1-70B,boiling_point_c,20,0.2532,0.9571585073547391,0.44845860206375,-0.031241991932956435,0.47970059399670645,9,828,,0.6749391555786133,0.7536247372627258,0.8009050488471985,0.8516119718551636,0.9257280826568604
meta-llama-Llama-3.1-70B,boiling_point_c,40,0.5063,0.7064544882748153,0.5348139986265124,-0.034713522545110884,0.5695275211716232,9,828,,0.48636987805366516,0.5680572986602783,0.6310248374938965,0.7308246493339539,0.87701016664505
meta-llama-Llama-3.1-70B,boiling_point_c,60,0.7595,0.41775136887030456,0.27113552482721087,-0.02456204640957207,0.2956975712367829,9,828,,0.39593803882598877,0.5160716772079468,0.5804587006568909,0.6818268299102783,0.8112051486968994
meta-llama-Llama-3.1-70B,boiling_point_c,79,1.0,0.6889300974951617,0.3667692339186671,0.00031214003034056185,0.36645709388832653,9,828,,0.4235510528087616,0.8127686381340027,0.8617520928382874,0.9103150963783264,0.9536879062652588
meta-llama-Llama-3.1-70B,boiling_point_c question,0,0.0,0.9797246339528457,0.7671579012745305,0.04706664277733442,0.7200912584971961,9,828,,0.6284841299057007,0.8092432022094727,0.8853228092193604,0.9227046370506287,0.9679175019264221
meta-llama-Llama-3.1-70B,boiling_point_c question,20,0.2532,0.9554615704795703,0.655383492509524,-0.03792213649126762,0.6933056290007916,9,828,,0.67767333984375,0.738685667514801,0.784404456615448,0.8492302894592285,0.9241365790367126
meta-llama-Llama-3.1-70B,boiling_point_c question,40,0.5063,0.9664619260436886,0.7082995008023685,-0.03414221857551452,0.742441719377883,9,828,,0.6491460800170898,0.7697094082832336,0.8234876990318298,0.8895476460456848,0.9446092247962952
meta-llama-Llama-3.1-70B,boiling_point_c question,60,0.7595,0.967758206989682,0.7122912693793249,-0.03587258267603904,0.7481638520553638,9,828,,0.6184796690940857,0.7468993663787842,0.8282099366188049,0.8934667110443115,0.9478821754455566
meta-llama-Llama-3.1-70B,boiling_point_c question,79,1.0,0.9735732821403253,0.674443555718059,-0.02656890602420443,0.7010124617422635,9,828,,0.6088871359825134,0.7343284487724304,0.7945300340652466,0.8617544770240784,0.9325256943702698
meta-llama-Llama-3.1-70B,functional_group,0,0.0,0.996446721871618,0.760291237253369,-0.033485142614568884,0.7937763798679379,10,920,,0.5745083689689636,0.6955519318580627,0.7843126058578491,0.8820692896842957,0.9466724395751953
meta-llama-Llama-3.1-70B,functional_group,20,0.2532,0.954245890562351,0.5851244580065995,-0.03577761505505151,0.620902073061651,10,920,,0.5986508131027222,0.6861326694488525,0.730726957321167,0.8021770715713501,0.9073130488395691
meta-llama-Llama-3.1-70B,functional_group,40,0.5063,0.8367059971519594,0.7737580746935125,-0.04321568582334464,0.8169737605168572,10,920,,0.5747261643409729,0.676456093788147,0.7474566698074341,0.8171756863594055,0.9015259146690369
meta-llama-Llama-3.1-70B,functional_group,60,0.7595,0.7801641411064802,0.8375740793713352,-0.045949484014315006,0.8835235633856502,10,920,,0.5365565419197083,0.6499150395393372,0.7318856716156006,0.8114904165267944,0.9093508124351501
meta-llama-Llama-3.1-70B,functional_group,79,1.0,0.9332683629045291,0.7867570258023446,-0.04280031679565199,0.8295573425979966,10,920,,0.48886239528656006,0.6243537664413452,0.707099974155426,0.7892501950263977,0.8872460722923279
